index,id,sg_uf,nm_meso_regiao,nm_micro_regiao,setor,nm_divisao,de_faixa_faturamento_estimado,vl_faturamento_estimado_aux,de_nivel_atividade,idade_emp_cat,de_saude_tributaria,de_saude_rescencia,fl_optante_simples,fl_optante_simei,fl_simples_irregular,fl_passivel_iss,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,fl_spa,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_antt,fl_veiculo,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,fl_matriz,qt_filiais,lat,lng
2313,337508,RO,MADEIRA-GUAPORE,PORTO VELHO,INDUSTRIA,FABRICACAO DE PRODUTOS DE MADEIRA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,BAIXA,15 a 20,LARANJA,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-8.76183,-63.902
2314,2847,RO,MADEIRA-GUAPORE,PORTO VELHO,INDUSTRIA,FABRICACAO DE PRODUTOS DE MADEIRA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,BAIXA,15 a 20,LARANJA,ACIMA DE 1 ANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,-8.76183,-63.902
2315,351327,RN,LESTE POTIGUAR,LITORAL NORDESTE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-5.32870183297146,-35.57729224719625
2316,58206,RN,LESTE POTIGUAR,LITORAL NORDESTE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-5.32870183297146,-35.57729224719625
2317,251804,RN,LESTE POTIGUAR,LITORAL NORDESTE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-5.32870183297146,-35.57729224719625
2318,288293,RN,LESTE POTIGUAR,LITORAL NORDESTE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-5.32870183297146,-35.57729224719625
2319,448782,RN,LESTE POTIGUAR,LITORAL NORDESTE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,AMARELO,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0.0,0.0,1,0,-5.32870183297146,-35.57729224719625
2320,330464,RN,LESTE POTIGUAR,NATAL,INDUSTRIA,FABRICACAO DE MOVEIS,"ATE R$ 81.000,00",50000.0,ALTA,1 a 5,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2321,7111,RN,LESTE POTIGUAR,NATAL,INDUSTRIA,FABRICACAO DE MOVEIS,"ATE R$ 81.000,00",50000.0,ALTA,1 a 5,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
2322,109117,RN,LESTE POTIGUAR,NATAL,INDUSTRIA,FABRICACAO DE MOVEIS,"ATE R$ 81.000,00",50000.0,ALTA,1 a 5,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0.0,0.0,1,0,-5.692452127652593,-35.26688320588548
